run_row,mode,model_id,trial,started_at_local,finished_at_local,actual_duration_sec,inference_count,sample_count,average_power_w,baseline_power_w,baseline_source,net_energy_j,net_energy_per_inference_j,average_latency_ms,throughput_inferences_per_sec,depth,pattern,growth_pattern,channels,pools,parameter_count,status
1,idle,,1,2026-09-08T20:16:30.920159+09:00,2026-09-08T20:17:30.920960+09:00,60.000724,0,,,,,,,,,,,,,,,excluded: HWiNFO log does not cover this trial's full time interval.
2,idle,,1,2026-09-08T20:18:47.643104+09:00,2026-09-08T20:19:47.643549+09:00,60.000363,0,290,7.816417841117638,,,,,,,,,,,,,valid
3,idle,,2,2026-09-08T20:20:47.645538+09:00,2026-09-08T20:21:47.645825+09:00,60.000248,0,290,8.148605348603699,,,,,,,,,,,,,valid
4,idle,,3,2026-09-08T20:22:47.647605+09:00,2026-09-08T20:23:47.648228+09:00,60.000584,0,291,7.832214445984198,,,,,,,,,,,,,valid
5,inference,0001,1,2026-09-08T20:23:53.715581+09:00,2026-09-08T20:24:53.716119+09:00,60.000494,48984,293,22.47751104487751,7.931275693403109,interpolated_adjacent_idle_blocks,872.7813069287276,0.01781768142513326,1.224899853,816.3932729,3,inverse_hourglass,late,66-197-66,1-3,236817,valid
6,inference,0001,2,2026-09-08T20:25:53.981266+09:00,2026-09-08T20:26:53.982452+09:00,60.001153,48872,293,21.261640123117818,7.927485778270477,interpolated_adjacent_idle_blocks,800.0646349708002,0.01637061374551482,1.227720441,814.5176756,3,inverse_hourglass,late,66-197-66,1-3,236817,valid
7,inference,0001,3,2026-09-08T20:27:54.225045+09:00,2026-09-08T20:28:54.226046+09:00,60.000975,48794,294,21.847520459317188,7.923696566586539,interpolated_adjacent_idle_blocks,835.4430092921343,0.017121838941102068,1.229679362,813.2201212,3,inverse_hourglass,late,66-197-66,1-3,236817,valid
8,inference,0002,1,2026-09-08T20:28:59.638627+09:00,2026-09-08T20:29:59.638971+09:00,60.000296,145402,294,21.044585311924838,7.921635213738279,interpolated_adjacent_idle_blocks,787.3808902844225,0.005415199861655428,0.412651106,2423.354707,2,decreasing,late,129-26,1,34094,valid
9,inference,0002,2,2026-09-08T20:30:59.723441+09:00,2026-09-08T20:31:59.723661+09:00,60.000191,145726,293,21.05123196042573,7.9178510105312,interpolated_adjacent_idle_blocks,788.0053654694334,0.005407445242917759,0.411732919,2428.758923,2,decreasing,late,129-26,1,34094,valid
10,inference,0002,3,2026-09-08T20:32:59.809828+09:00,2026-09-08T20:33:59.810250+09:00,60.000396,145645,294,19.96595700441422,7.914066752597753,interpolated_adjacent_idle_blocks,723.1181876575279,0.0049649365763158905,0.411963309,2427.400638,2,decreasing,late,129-26,1,34094,valid
11,inference,0003,1,2026-09-08T20:34:05.194627+09:00,2026-09-08T20:35:05.194751+09:00,60.000079,252153,293,19.534873665536313,7.912006301134229,interpolated_adjacent_idle_blocks,697.3729600706467,0.00276567385702588,0.237951081,4202.544467,3,increasing,late,12-67-232,1-2,150097,valid
12,inference,0003,2,2026-09-08T20:36:05.245474+09:00,2026-09-08T20:37:05.245619+09:00,60.000116,254887,294,20.091902377627708,7.908223166022945,interpolated_adjacent_idle_blocks,731.0221660030743,0.002868024520682005,0.235398887,4248.108439,3,increasing,late,12-67-232,1-2,150097,valid
13,inference,0003,3,2026-09-08T20:38:05.295016+09:00,2026-09-08T20:39:05.295125+09:00,60.000059,255516,294,20.3308436587093,7.904440072933156,interpolated_adjacent_idle_blocks,745.5849483043801,0.002917957968598366,0.234819184,4258.595834,3,increasing,late,12-67-232,1-2,150097,valid
14,inference,0004,1,2026-09-08T20:39:10.835082+09:00,2026-09-08T20:40:10.835538+09:00,60.000411,66486,294,20.633249143125067,7.902374718418415,interpolated_adjacent_idle_blocks,763.8576978717877,0.011489000659865049,0.902451812,1108.092406,2,decreasing,early,240-85,1,191265,valid
15,inference,0004,2,2026-09-08T20:41:11.013772+09:00,2026-09-08T20:42:11.014423+09:00,60.000623,66863,293,19.893294330448146,7.898587551880747,interpolated_adjacent_idle_blocks,719.6898794163669,0.010763649244221272,0.897366605,1114.371757,2,decreasing,early,240-85,1,191265,valid
16,inference,0004,3,2026-09-08T20:43:11.192234+09:00,2026-09-08T20:44:11.193004+09:00,60.000744,66942,294,20.122683863237924,7.894800393727844,interpolated_adjacent_idle_blocks,733.682105715906,0.010959966922349287,0.896309404,1115.686164,2,decreasing,early,240-85,1,191265,valid
17,inference,0005,1,2026-09-08T20:44:17.529232+09:00,2026-09-08T20:45:17.529920+09:00,60.000636,12195,292,21.2584496636886,7.892709932425402,interpolated_adjacent_idle_blocks,801.9528844862612,0.06576079413581477,4.920101312,203.2478473,4,hourglass,late,160-78-78-160,,285802,valid
18,inference,0005,2,2026-09-08T20:46:18.484590+09:00,2026-09-08T20:47:18.487683+09:00,60.003061,12304,294,21.362669872627038,7.888898256108797,interpolated_adjacent_idle_blocks,808.4675402060127,0.06570769995172406,4.876711736,205.0562047,4,hourglass,late,160-78-78-160,,285802,valid
19,inference,0005,3,2026-09-08T20:48:19.457469+09:00,2026-09-08T20:49:19.460514+09:00,60.003017,12300,294,21.268209481898527,7.885086066300491,interpolated_adjacent_idle_blocks,803.027781819227,0.06528681153001846,4.878294057,204.9896928,4,hourglass,late,160-78-78-160,,285802,valid
20,inference,0006,1,2026-09-08T20:49:25.186614+09:00,2026-09-08T20:50:25.188064+09:00,60.001401,33491,294,21.70005976940141,7.8830147839750495,interpolated_adjacent_idle_blocks,829.0420568056062,0.024754174458977225,1.791567911,558.170301,4,increasing,early,55-152-192-223,1-3-4,727587,valid
21,inference,0006,2,2026-09-08T20:51:25.539214+09:00,2026-09-08T20:52:25.539374+09:00,60.000133,33597,294,21.215664119692804,7.879222160450747,interpolated_adjacent_idle_blocks,800.1882913013039,0.02381725425785945,1.785877694,559.9487597,4,increasing,early,55-152-192-223,1-3-4,727587,valid
22,inference,0006,3,2026-09-08T20:53:25.888219+09:00,2026-09-08T20:54:25.888961+09:00,60.000715,33944,294,20.91466275168338,7.8754296207139864,interpolated_adjacent_idle_blocks,782.3633109098523,0.02304864809420965,1.767638319,565.7265908,4,increasing,early,55-152-192-223,1-3-4,727587,valid
23,inference,0007,1,2026-09-08T20:54:31.476599+09:00,2026-09-08T20:55:31.477484+09:00,60.000844,47006,293,22.05160626591437,7.873362746903939,interpolated_adjacent_idle_blocks,850.7065775781559,0.0180978295872475,1.276450747,783.4223158,3,decreasing,late,121-45-18,2,59936,valid
24,inference,0007,2,2026-09-08T20:56:31.754308+09:00,2026-09-08T20:57:31.755388+09:00,60.001043,47199,294,21.354443775720018,7.869572460001663,interpolated_adjacent_idle_blocks,809.1063436638835,0.017142446739631848,1.271235477,786.6363217,3,decreasing,late,121-45-18,2,59936,valid
25,inference,0007,3,2026-09-08T20:58:32.021689+09:00,2026-09-08T20:59:32.022503+09:00,60.000787,47287,294,22.64924903436283,7.865782505830289,interpolated_adjacent_idle_blocks,887.0196263001104,0.018758213172755944,1.268864314,788.106332,3,decreasing,late,121-45-18,2,59936,valid
26,inference,0008,1,2026-09-08T20:59:37.572530+09:00,2026-09-08T21:00:37.573344+09:00,60.000769,65938,293,21.38524126988064,7.863716817224753,interpolated_adjacent_idle_blocks,811.3018652116573,0.01230401081639809,0.909957374,1098.952576,6,increasing,linear,55-101-125-153-220-239,1-2-4,1116683,valid
27,inference,0008,2,2026-09-08T21:01:37.754563+09:00,2026-09-08T21:02:37.754906+09:00,60.000316,66263,293,21.686643124714873,7.859929555832557,interpolated_adjacent_idle_blocks,829.6071833744265,0.012519915841033858,0.905487474,1104.377508,6,increasing,linear,55-101-125-153-220-239,1-2-4,1116683,valid
28,inference,0008,3,2026-09-08T21:03:37.936308+09:00,2026-09-08T21:04:37.936964+09:00,60.000633,66215,294,21.516947702601158,7.856142291164592,interpolated_adjacent_idle_blocks,819.6569719760193,0.012378720410420891,0.906148646,1103.571698,6,increasing,linear,55-101-125-153-220-239,1-2-4,1116683,valid
29,inference,0009,1,2026-09-08T21:04:43.648126+09:00,2026-09-08T21:05:43.649221+09:00,60.001051,34054,293,20.89784447580289,7.854071522811698,interpolated_adjacent_idle_blocks,782.6400861848451,0.022982324724991048,1.761938415,567.5567269,6,hourglass,early,206-164-18-18-163-206,1-2-3-4-5,670555,valid
30,inference,0009,2,2026-09-08T21:06:43.996564+09:00,2026-09-08T21:07:43.996685+09:00,60.000094,33911,293,22.08600872809673,7.85027902546458,interpolated_adjacent_idle_blocks,854.145120316521,0.0251878482001864,1.769340152,565.1824488,6,hourglass,early,206-164-18-18-163-206,1-2-3-4-5,670555,valid
31,inference,0009,3,2026-09-08T21:08:44.356436+09:00,2026-09-08T21:09:44.357682+09:00,60.001211,34175,294,19.625234979042986,7.846486134724742,interpolated_adjacent_idle_blocks,706.7391947239452,0.0206800056978477,1.755704778,569.5718394,6,hourglass,early,206-164-18-18-163-206,1-2-3-4-5,670555,valid
32,inference,0010,1,2026-09-08T21:09:49.822271+09:00,2026-09-08T21:10:49.822833+09:00,60.000517,103022,293,20.381727314366675,7.844423135667695,interpolated_adjacent_idle_blocks,752.2447325081991,0.007301787312498293,0.582404889,1717.018553,2,increasing,linear,51-245,1,116588,valid
33,inference,0010,2,2026-09-08T21:11:49.939739+09:00,2026-09-08T21:12:49.940292+09:00,60.000527,104239,294,20.047529096349503,7.840637901630441,interpolated_adjacent_idle_blocks,732.4199047148034,0.007026351986442726,0.575605358,1737.30141,2,increasing,linear,51-245,1,116588,valid
34,inference,0010,3,2026-09-08T21:13:50.056761+09:00,2026-09-08T21:14:50.056975+09:00,60.000188,104079,293,20.720688597487925,7.836852686827055,interpolated_adjacent_idle_blocks,773.0325768008034,0.007427363606498942,0.57648698,1734.644553,2,increasing,linear,51-245,1,116588,valid
35,idle,,1,2026-09-08T21:14:55.360049+09:00,2026-09-08T21:15:55.360575+09:00,60.000461,0,292,7.996402552058415,,,,,,,,,,,,,valid
36,idle,,2,2026-09-08T21:16:55.362795+09:00,2026-09-08T21:17:55.362972+09:00,60.000143,0,291,7.773575422446932,,,,,,,,,,,,,valid
37,idle,,3,2026-09-08T21:18:55.365596+09:00,2026-09-08T21:19:55.365974+09:00,60.000344,0,291,7.737242061328804,,,,,,,,,,,,,valid
38,inference,0011,1,2026-09-08T21:20:00.724784+09:00,2026-09-08T21:21:00.724922+09:00,60.000093,494840,293,19.898632189726996,7.836478759321153,interpolated_adjacent_idle_blocks,723.7303276046196,0.0014625542147049947,0.121251501,8247.320577,6,uniform,linear,21-21-21-21-21-21,1-2-5,20758,valid
39,inference,0011,2,2026-09-08T21:22:00.752321+09:00,2026-09-08T21:23:00.752419+09:00,60.000054,493955,294,20.076665362773884,7.838985884802595,interpolated_adjacent_idle_blocks,734.2614295129691,0.0014864945784797585,0.121468664,8232.575951,6,uniform,linear,21-21-21-21-21-21,1-2-5,20758,valid
40,inference,0011,3,2026-09-08T21:24:00.779245+09:00,2026-09-08T21:25:00.779376+09:00,60.000107,492877,294,20.23037696489398,7.841492998247211,interpolated_adjacent_idle_blocks,743.3343636093907,0.001508153887500108,0.121734442,8214.602072,6,uniform,linear,21-21-21-21-21-21,1-2-5,20758,valid
41,inference,0012,1,2026-09-08T21:25:07.014200+09:00,2026-09-08T21:26:07.016232+09:00,60.001982,13398,293,21.42253737676253,7.842876528712609,interpolated_adjacent_idle_blocks,814.8065657707962,0.0608155370779815,4.478428265,223.2926243,4,decreasing,early,101-97-91-77,,234552,valid
42,inference,0012,2,2026-09-08T21:27:07.901047+09:00,2026-09-08T21:28:07.905109+09:00,60.004029,13443,293,22.057583077630234,7.845401625021414,interpolated_adjacent_idle_blocks,852.7881480356018,0.06343733898948165,4.463589169,224.0349553,4,decreasing,early,101-97-91-77,,234552,valid
43,inference,0012,3,2026-09-08T21:29:08.785988+09:00,2026-09-08T21:30:08.788678+09:00,60.002643,13451,294,20.785732154550374,7.847926645981778,interpolated_adjacent_idle_blocks,776.302525134075,0.05771336890447365,4.460831373,224.1734592,4,decreasing,early,101-97-91-77,,234552,valid
44,inference,0013,1,2026-09-08T21:30:14.215154+09:00,2026-09-08T21:31:14.215508+09:00,60.000306,123098,294,21.211344475062308,7.849293300941131,interpolated_adjacent_idle_blocks,801.7271592349298,0.006512917831605142,0.487419012,2051.622884,4,uniform,early,71-71-71-71,1-2-4,139028,valid
45,inference,0013,2,2026-09-08T21:32:14.315583+09:00,2026-09-08T21:33:14.315819+09:00,60.000204,123522,294,20.12665928899044,7.851801948172244,interpolated_adjacent_idle_blocks,736.4939445199891,0.005962451583685409,0.48574508,2058.693007,4,uniform,early,71-71-71-71,1-2-4,139028,valid
46,inference,0013,3,2026-09-08T21:34:14.414605+09:00,2026-09-08T21:35:14.415006+09:00,60.000372,123629,294,20.943276791367136,7.854310568969152,interpolated_adjacent_idle_blocks,785.3428424393138,0.006352416038626163,0.485326032,2060.470558,4,uniform,early,71-71-71-71,1-2-4,139028,valid
47,inference,0014,1,2026-09-08T21:35:20.079384+09:00,2026-09-08T21:36:20.079494+09:00,60.000054,415215,294,19.3566993170308,7.855682166756377,interpolated_adjacent_idle_blocks,690.0616500713913,0.0016619381526953296,0.144503581,6920.243749,2,uniform,late,40-40,1,15970,valid
48,inference,0014,2,2026-09-08T21:37:20.111052+09:00,2026-09-08T21:38:20.111139+09:00,60.000061,415771,295,19.855675015968767,7.858189378701774,interpolated_adjacent_idle_blocks,719.8498700826435,0.0017313614227126074,0.144310355,6929.509645,2,uniform,late,40-40,1,15970,valid
49,inference,0014,3,2026-09-08T21:39:20.142318+09:00,2026-09-08T21:40:20.142393+09:00,60.00005,416424,292,19.552293479902993,7.860696582370297,interpolated_adjacent_idle_blocks,701.4963984318067,0.0016845724512319336,0.144084035,6940.394182,2,uniform,late,40-40,1,15970,valid
50,inference,0015,1,2026-09-08T21:40:25.734282+09:00,2026-09-08T21:41:25.734787+09:00,60.000462,48424,293,21.642294219345672,7.862066666729546,interpolated_adjacent_idle_blocks,826.820019622097,0.01707459151705966,1.239064547,807.0604577,5,increasing,early,37-86-106-122-135,2-3-4-5,378145,valid
51,inference,0015,2,2026-09-08T21:42:25.977620+09:00,2026-09-08T21:43:25.977889+09:00,60.000241,48631,294,21.565592859156023,7.864578297803757,interpolated_adjacent_idle_blocks,822.0641756256454,0.016904118270766495,1.233785886,810.5134057,5,increasing,early,37-86-106-122-135,2-3-4-5,378145,valid
52,inference,0015,3,2026-09-08T21:44:26.220583+09:00,2026-09-08T21:45:26.220967+09:00,60.000354,48608,294,21.236431985934207,7.867089924709649,interpolated_adjacent_idle_blocks,802.1652564205632,0.016502741450390126,1.234371996,810.1285536,5,increasing,early,37-86-106-122-135,2-3-4-5,378145,valid
53,inference,0016,1,2026-09-08T21:45:32.240364+09:00,2026-09-08T21:46:32.243212+09:00,60.002803,17337,294,21.469042369020173,7.868468966514514,interpolated_adjacent_idle_blocks,816.0725265575868,0.047071149942757504,3.460968039,288.9365023,3,decreasing,late,167-103-82,2-3,236514,valid
54,inference,0016,2,2026-09-08T21:47:32.916069+09:00,2026-09-08T21:48:32.916968+09:00,60.000872,17436,293,21.605286049606704,7.870989610950552,interpolated_adjacent_idle_blocks,824.0697626258636,0.0472625466062092,3.441206223,290.5957781,3,decreasing,late,167-103-82,2-3,236514,valid
55,inference,0016,3,2026-09-08T21:49:33.595247+09:00,2026-09-08T21:50:33.595715+09:00,60.000443,17431,294,21.94763396782406,7.8735103437728515,interpolated_adjacent_idle_blocks,844.4536522798378,0.04844550813377533,3.442168699,290.5145236,3,decreasing,late,167-103-82,2-3,236514,valid
56,inference,0017,1,2026-09-08T21:50:39.262959+09:00,2026-09-08T21:51:39.263269+09:00,60.000264,43939,293,22.274158281216852,7.874882004209343,interpolated_adjacent_idle_blocks,863.9603780293878,0.019662722820942394,1.365535492,732.3134445,5,increasing,early,83-166-209-223-250,1-2-3-4-5,1363143,valid
57,inference,0017,2,2026-09-08T21:52:39.537657+09:00,2026-09-08T21:53:39.538378+09:00,60.000694,44116,294,20.984510440216184,7.8773942970849,interpolated_adjacent_idle_blocks,786.4360649264804,0.017826549662854303,1.360066502,735.2581646,5,increasing,early,83-166-209-223-250,1-2-3-4-5,1363143,valid
58,inference,0017,3,2026-09-08T21:54:39.813888+09:00,2026-09-08T21:55:39.814616+09:00,60.000703,43905,293,21.47357290141569,7.879906617759201,interpolated_adjacent_idle_blocks,815.6295333667867,0.018577144593253315,1.366602959,731.7414276,5,increasing,early,83-166-209-223-250,1-2-3-4-5,1363143,valid
59,inference,0018,1,2026-09-08T21:55:45.583718+09:00,2026-09-08T21:56:45.585950+09:00,60.002165,27275,294,22.206399265618085,7.881280428589411,interpolated_adjacent_idle_blocks,859.5381441040026,0.031513772469440975,2.199896048,454.5669333,3,inverse_hourglass,early,21-250-21,,95579,valid
60,inference,0018,2,2026-09-08T21:57:46.019541+09:00,2026-09-08T21:58:46.020825+09:00,60.001256,27280,294,22.665205577404848,7.8837960728371455,interpolated_adjacent_idle_blocks,886.9031357243998,0.03251111201335777,2.199459549,454.6571454,3,inverse_hourglass,early,21-250-21,,95579,valid
61,inference,0018,3,2026-09-08T21:59:46.459213+09:00,2026-09-08T22:00:46.459902+09:00,60.000644,27183,293,22.50684156661855,7.886311801168362,interpolated_adjacent_idle_blocks,877.2412015481802,0.032271684565654275,2.207285572,453.0451396,3,inverse_hourglass,early,21-250-21,,95579,valid
62,inference,0019,1,2026-09-08T22:00:52.137229+09:00,2026-09-08T22:01:52.138343+09:00,60.001063,35925,294,21.882070603703237,7.8876836829191115,interpolated_adjacent_idle_blocks,839.6780912803443,0.02337308535227124,1.670175724,598.7393933,2,decreasing,late,181-40,2,70678,valid
63,inference,0019,2,2026-09-08T22:02:52.470668+09:00,2026-09-08T22:03:52.471255+09:00,60.000554,36214,294,21.95284410666973,7.89019719297827,interpolated_adjacent_idle_blocks,843.7666055278777,0.023299458925495047,1.6568331,603.5610948,2,decreasing,late,181-40,2,70678,valid
64,inference,0019,3,2026-09-08T22:04:52.814981+09:00,2026-09-08T22:05:52.816275+09:00,60.001265,36102,293,22.11676610690248,7.8927109430568265,interpolated_adjacent_idle_blocks,853.4613032605216,0.02364027763726446,1.661992831,601.6873124,2,decreasing,late,181-40,2,70678,valid
65,inference,0020,1,2026-09-08T22:05:58.388271+09:00,2026-09-08T22:06:58.388922+09:00,60.000609,53507,294,21.49079397483114,7.89408062614703,interpolated_adjacent_idle_blocks,815.8110813194758,0.015246810348542729,1.121359983,891.7742878,4,uniform,early,42-42-42-42,4,49360,valid
66,inference,0020,2,2026-09-08T22:07:58.617490+09:00,2026-09-08T22:08:58.618541+09:00,60.001025,53447,293,21.987320788855463,7.896591968944977,interpolated_adjacent_idle_blocks,845.4581721916695,0.015818627279204998,1.122626619,890.7681175,4,uniform,early,42-42-42-42,4,49360,valid
67,inference,0020,3,2026-09-08T22:09:58.841360+09:00,2026-09-08T22:10:58.842239+09:00,60.000853,53761,294,20.812343186128075,7.899103194038997,interpolated_adjacent_idle_blocks,774.8054145190579,0.014412035016444223,1.116066533,896.00393,4,uniform,early,42-42-42-42,4,49360,valid
68,idle,,1,2026-09-08T22:11:04.160758+09:00,2026-09-08T22:12:04.161228+09:00,60.000402,0,291,7.971866008066215,,,,,,,,,,,,,valid
69,idle,,2,2026-09-08T22:13:04.162734+09:00,2026-09-08T22:14:04.163337+09:00,60.000571,0,291,7.9395330688777745,,,,,,,,,,,,,valid
70,idle,,3,2026-09-08T22:15:04.165181+09:00,2026-09-08T22:16:04.165911+09:00,60.0007,0,291,7.788124167245953,,,,,,,,,,,,,valid
71,inference,0021,1,2026-09-08T22:16:09.610171+09:00,2026-09-08T22:17:09.610348+09:00,60.000133,125711,293,20.785302550835212,7.898463719687653,interpolated_adjacent_idle_blocks,773.2120438184181,0.006150711105777681,0.47728626,2095.178689,5,increasing,late,56-66-94-142-208,1-2-3,479224,valid
72,inference,0021,2,2026-09-08T22:18:09.710808+09:00,2026-09-08T22:19:09.711283+09:00,60.000448,125378,294,21.022729199257803,7.893797122802981,interpolated_adjacent_idle_blocks,787.7418063488594,0.006282934855786976,0.478556432,2089.61772,5,increasing,late,56-66-94-142-208,1-2-3,479224,valid
73,inference,0021,3,2026-09-08T22:20:09.809560+09:00,2026-09-08T22:21:09.809802+09:00,60.000217,125242,294,21.06444354246226,7.889130609478817,interpolated_adjacent_idle_blocks,790.521635021913,0.006311953138898397,0.479074246,2087.359128,5,increasing,late,56-66-94-142-208,1-2-3,479224,valid
74,inference,0022,1,2026-09-08T22:21:15.211998+09:00,2026-09-08T22:22:15.212392+09:00,60.000353,155313,293,19.247943883194335,7.8865893507724225,interpolated_adjacent_idle_blocks,681.6852825034647,0.004389106401289426,0.386318936,2588.534775,2,increasing,late,64-150,1,89852,valid
75,inference,0022,2,2026-09-08T22:23:15.289703+09:00,2026-09-08T22:24:15.289965+09:00,60.000236,155818,294,19.520346846309344,7.881923653274879,interpolated_adjacent_idle_blocks,698.3081382499415,0.004481562709378516,0.385066143,2596.956439,2,increasing,late,64-150,1,89852,valid
76,inference,0022,3,2026-09-08T22:25:15.380338+09:00,2026-09-08T22:26:15.380500+09:00,60.000136,156084,293,19.53468545518717,7.877257452756048,interpolated_adjacent_idle_blocks,699.4472655560756,0.0044812233512472495,0.384409266,2601.394112,2,increasing,late,64-150,1,89852,valid
77,inference,0023,1,2026-09-08T22:26:20.977031+09:00,2026-09-08T22:27:20.977565+09:00,60.00049,46223,294,21.36185501771493,7.874708641865787,interpolated_adjacent_idle_blocks,809.2353912526728,0.01750720185303145,1.298065684,770.3770406,6,hourglass,early,83-68-20-20-63-83,2-4-5-6,128455,valid
78,inference,0023,2,2026-09-08T22:28:21.238149+09:00,2026-09-08T22:29:21.239234+09:00,60.001058,46157,294,21.500552752450442,7.870035804474887,interpolated_adjacent_idle_blocks,817.8454379654643,0.01771877370638179,1.299934088,769.2697724,6,hourglass,early,83-68-20-20-63-83,2-4-5-6,128455,valid
79,inference,0023,3,2026-09-08T22:30:21.496097+09:00,2026-09-08T22:31:21.496493+09:00,60.000369,46328,294,21.61973364429895,7.865363114333905,interpolated_adjacent_idle_blocks,825.2673071606282,0.017813575098442155,1.295121069,772.128586,6,hourglass,early,83-68-20-20-63-83,2-4-5-6,128455,valid
80,inference,0024,1,2026-09-08T22:31:26.960161+09:00,2026-09-08T22:32:26.960568+09:00,60.000361,97894,294,21.02730603281398,7.862819463851568,interpolated_adjacent_idle_blocks,789.873946517396,0.008068665561907737,0.612911523,1631.556861,3,increasing,linear,51-77-103,1,109370,valid
81,inference,0024,2,2026-09-08T22:33:27.082657+09:00,2026-09-08T22:34:27.083115+09:00,60.00042,98324,293,21.081702502819027,7.858152022403614,interpolated_adjacent_idle_blocks,793.4185827161266,0.008069429464994575,0.610231678,1638.721876,3,increasing,linear,51-77-103,1,109370,valid
82,inference,0024,3,2026-09-08T22:35:27.206121+09:00,2026-09-08T22:36:27.206181+09:00,60.00003,98426,294,20.32941580954591,7.853484552089302,interpolated_adjacent_idle_blocks,748.5562497253343,0.007605269438210781,0.609595335,1640.432502,3,increasing,linear,51-77-103,1,109370,valid
83,inference,0025,1,2026-09-08T22:36:33.350514+09:00,2026-09-08T22:37:33.350606+09:00,60.000039,15556,294,20.851969304951304,7.850914466554816,interpolated_adjacent_idle_blocks,780.0637973449279,0.05014552567144047,3.857035176,259.2664973,5,decreasing,early,204-188-158-131-62,1-5,878765,valid
84,inference,0025,2,2026-09-08T22:38:34.103197+09:00,2026-09-08T22:39:34.103641+09:00,60.000412,15615,294,20.99127867928644,7.846222532929155,interpolated_adjacent_idle_blocks,788.7087845445694,0.050509688411435764,3.842485559,260.248213,5,decreasing,early,204-188-158-131-62,1-5,878765,valid
85,inference,0025,3,2026-09-08T22:40:34.877474+09:00,2026-09-08T22:41:34.878238+09:00,60.000733,15436,294,21.35954097506335,7.841529760882188,interpolated_adjacent_idle_blocks,811.0905815530896,0.05254538621100606,3.887064842,257.2635242,5,decreasing,early,204-188-158-131-62,1-5,878765,valid
86,inference,0026,1,2026-09-08T22:41:40.276769+09:00,2026-09-08T22:42:40.276953+09:00,60.000138,328284,294,19.905552289362976,7.8389886385220855,interpolated_adjacent_idle_blocks,723.9954842362373,0.0022053937573449736,0.182768998,5471.387443,2,uniform,early,45-45,1-2,19990,valid
87,inference,0026,2,2026-09-08T22:43:40.316195+09:00,2026-09-08T22:44:40.316342+09:00,60.00011,329691,293,20.522942458677047,7.834324426539532,interpolated_adjacent_idle_blocks,761.3184776762346,0.00230918792953473,0.181988923,5494.839917,2,uniform,early,45-45,1-2,19990,valid
88,inference,0026,3,2026-09-08T22:45:40.355041+09:00,2026-09-08T22:46:40.355170+09:00,60.0001,329337,293,19.944006128388104,7.829660236725527,interpolated_adjacent_idle_blocks,726.8619649343439,0.002207046171351363,0.182184511,5488.940833,2,uniform,early,45-45,1-2,19990,valid
89,inference,0027,1,2026-09-08T22:46:45.797477+09:00,2026-09-08T22:47:45.798003+09:00,60.000477,108822,293,20.353147632309383,7.8271174191061474,interpolated_adjacent_idle_blocks,751.5677877086059,0.006906395652612578,0.551363486,1813.685572,4,uniform,late,88-88-88-88,1-2-3-4,212706,valid
90,inference,0027,2,2026-09-08T22:48:45.908471+09:00,2026-09-08T22:49:45.908840+09:00,60.000337,109399,294,19.5586704008052,7.822450428625546,interpolated_adjacent_idle_blocks,704.17715343691,0.006436778703981846,0.548454167,1823.306414,4,uniform,late,88-88-88-88,1-2-3-4,212706,valid
91,inference,0027,3,2026-09-08T22:50:46.019887+09:00,2026-09-08T22:51:46.020406+09:00,60.000489,109408,294,20.305465240088306,7.817783415800382,interpolated_adjacent_idle_blocks,749.2670159336876,0.006848375035954296,0.548410438,1823.451799,4,uniform,late,88-88-88-88,1-2-3-4,212706,valid
92,inference,0028,1,2026-09-08T22:51:51.459721+09:00,2026-09-08T22:52:51.460108+09:00,60.000343,140150,295,21.02183736370302,7.815240709551782,interpolated_adjacent_idle_blocks,792.4003291117268,0.0056539445530626245,0.428115183,2335.819984,4,uniform,early,65-65-65-65,1-2,116750,valid
93,inference,0028,2,2026-09-08T22:53:51.548081+09:00,2026-09-08T22:54:51.548131+09:00,60.000024,140522,294,20.143260024049894,7.810574602042651,interpolated_adjacent_idle_blocks,739.9614213048847,0.005265804794301851,0.426979577,2342.032393,4,uniform,early,65-65-65-65,1-2,116750,valid
94,inference,0028,3,2026-09-08T22:55:51.635690+09:00,2026-09-08T22:56:51.635746+09:00,60.000031,140607,293,20.14813963887201,7.805908517044832,interpolated_adjacent_idle_blocks,740.5342499187955,0.00526669546977601,0.426721507,2343.448789,4,uniform,early,65-65-65-65,1-2,116750,valid
95,inference,0029,1,2026-09-08T22:56:57.311989+09:00,2026-09-08T22:57:57.312453+09:00,60.000418,34652,294,21.512372627797845,7.803356612303614,interpolated_adjacent_idle_blocks,822.5466912983484,0.023737351128314335,1.731513855,577.5293089,6,decreasing,late,149-110-80-58-45-41,1-6,313491,valid
96,inference,0029,2,2026-09-08T22:58:57.681331+09:00,2026-09-08T22:59:57.682775+09:00,60.001417,34871,294,22.009626462510717,7.798679561452854,interpolated_adjacent_idle_blocks,852.6769509752305,0.024452322875031702,1.720668091,581.169608,6,decreasing,late,149-110-80-58-45-41,1-6,313491,valid
97,inference,0029,3,2026-09-08T23:00:58.026593+09:00,2026-09-08T23:01:58.028266+09:00,60.001622,34407,294,21.959665934867488,7.794003460838849,interpolated_adjacent_idle_blocks,849.9627251462513,0.024703191941937725,1.743878342,573.4344972,6,decreasing,late,149-110-80-58-45-41,1-6,313491,valid
